timestamp,cpu_percent,ram_mb,gpu_percent
2025-08-27 22:08:44,234.0,2178.37109375,21.0
2025-08-27 22:08:45,139.8,3451.515625,0.0
2025-08-27 22:08:46,187.1,3380.203125,0.0
2025-08-27 22:08:48,171.3,2809.24609375,0.0
2025-08-27 22:08:49,0.0,2369.046875,0.0
2025-08-27 22:08:50,311.7,2784.62109375,16.0
2025-08-27 22:08:52,31.1,3946.44921875,0.0
2025-08-27 22:08:53,62.4,3883.26953125,0.0
2025-08-27 22:08:54,93.3,3598.4609375,0.0
2025-08-27 22:08:56,140.0,4096.43359375,21.0
2025-08-27 22:08:57,124.9,4124.1953125,0.0
2025-08-27 22:08:58,78.1,3461.78515625,0.0
2025-08-27 22:08:59,171.2,4201.92578125,20.0
2025-08-27 22:09:01,202.6,3978.08203125,0.0
2025-08-27 22:09:02,124.6,3259.6171875,20.0
2025-08-27 22:09:03,171.5,4207.390625,0.0
2025-08-27 22:09:05,202.6,4487.8046875,0.0
2025-08-27 22:09:06,342.6,4488.83203125,7.000000000000001
2025-08-27 22:09:08,280.5,4493.2890625,21.0
2025-08-27 22:09:10,436.9,4488.66015625,11.0
2025-08-27 22:09:11,156.1,3882.1015625,0.0
2025-08-27 22:09:12,248.9,3038.7734375,15.0
2025-08-27 22:09:14,374.2,3824.546875,0.0
2025-08-27 22:09:15,155.5,3572.20703125,0.0
2025-08-27 22:09:17,218.1,3921.234375,0.0
2025-08-27 22:09:18,155.8,4201.1328125,0.0
2025-08-27 22:09:19,218.5,3723.4375,0.0
2025-08-27 22:09:20,109.0,4256.8984375,16.0
2025-08-27 22:09:22,311.3,3400.47265625,20.0
2025-08-27 22:09:23,326.7,4359.88671875,0.0
2025-08-27 22:09:24,93.3,4488.7890625,2.0
2025-08-27 22:09:25,93.3,4489.55859375,48.0
2025-08-27 22:09:27,436.9,4488.98828125,8.0
2025-08-27 22:09:28,421.4,4489.5,19.0
2025-08-27 22:09:30,420.6,4492.90625,21.0
2025-08-27 22:09:31,373.2,4489.59765625,13.0
2025-08-27 22:09:32,140.4,4490.8046875,36.0
2025-08-27 22:09:34,186.7,4490.37109375,36.0
2025-08-27 22:09:35,435.2,4491.0703125,27.0
2025-08-27 22:09:37,93.4,4490.05859375,4.0
2025-08-27 22:09:38,372.9,4277.95703125,1.0
2025-08-27 22:09:40,124.7,4020.27734375,13.0
2025-08-27 22:09:41,233.9,4367.4140625,7.000000000000001
2025-08-27 22:09:42,202.7,4493.26171875,5.0
2025-08-27 22:09:44,435.0,4489.98828125,33.0
2025-08-27 22:09:45,249.6,4491.51171875,34.0
2025-08-27 22:09:47,450.8,4497.09765625,18.0
2025-08-27 22:09:49,341.9,4495.32421875,10.0
2025-08-27 22:09:51,327.6,4490.68359375,18.0
2025-08-27 22:09:52,420.6,4492.32421875,18.0
2025-08-27 22:09:54,0.0,4494.66796875,36.0
2025-08-27 22:09:55,0.0,4466.765625,0.0
2025-08-27 22:09:56,0.0,4294.98828125,0.0
2025-08-27 22:09:57,0.0,4294.98828125,0.0
2025-08-27 22:09:59,0.0,4276.05859375,0.0
2025-08-27 22:10:00,0.0,4250.34765625,0.0
2025-08-27 22:10:01,0.0,4059.7421875,0.0
2025-08-27 22:10:02,0.0,4059.7421875,0.0
2025-08-27 22:10:04,0.0,4043.3984375,0.0
2025-08-27 22:10:05,0.0,4027.3984375,0.0
2025-08-27 22:10:06,0.0,4027.3984375,0.0
2025-08-27 22:10:08,0.0,4011.3984375,0.0
2025-08-27 22:10:09,0.0,4011.3984375,0.0
2025-08-27 22:10:10,15.6,4013.484375,0.0
2025-08-27 22:10:11,0.0,4013.484375,0.0
2025-08-27 22:10:13,0.0,3968.7109375,0.0
2025-08-27 22:10:14,0.0,3814.0625,0.0
2025-08-27 22:10:15,0.0,3814.0625,0.0
2025-08-27 22:10:17,0.0,3777.60546875,0.0
2025-08-27 22:10:18,0.0,3777.60546875,0.0
2025-08-27 22:10:19,0.0,3777.60546875,0.0
2025-08-27 22:10:21,0.0,3626.61328125,0.0
2025-08-27 22:10:22,0.0,3626.61328125,0.0
2025-08-27 22:10:23,0.0,3626.61328125,0.0
2025-08-27 22:10:24,0.0,3626.61328125,0.0
2025-08-27 22:10:26,0.0,3626.61328125,0.0
